_id, userId, goodId, time
fakehistoryid1, fakeuserid1, fakegoodid1, 1600559479190
fakehistoryid2, fakeuserid1, fakegoodid2, 1601559479190
fakehistoryid3, fakeuserid1, fakegoodid3, 1602559479190
fakehistoryid4, fakeuserid2, fakegoodid3, 1603559479190
fakehistoryid5, fakeuserid2, fakegoodid4, 1604559479190
fakehistoryid6, fakeuserid2, fakegoodid5, 1605559479190
fakehistoryid7, fakeuserid3, fakegoodid2, 1606559479190
fakehistoryid8, fakeuserid3, fakegoodid1, 1606559479190
fakehistoryid9, fakeuserid3, fakegoodid4, 1607559479190
fakehistoryid10, fakeuserid4, fakegoodid1, 1608559479190
fakehistoryid11, fakeuserid4, fakegoodid4, 1609559479190
fakehistoryid12, fakeuserid4, fakegoodid3, 1610559479190
fakehistoryid13, fakeuserid5, fakegoodid5, 1611559479190
